time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2019-02-05T23:36:14.640Z,19.0813,113.4297,64,3.06,md,10,297,0.6056,0.44,pr,pr2019036043,2019-02-06T07:40:51.999Z,"69km NNE of Arecibo, Puerto Rico",earthquake,3.15,5.25,0.17,7,reviewed,pr,pr
2019-02-07T13:11:43.180Z,17.978,113.5657,18,1.98,md,5,207,0.1743,0.29,pr,pr2019038019,2019-02-07T15:57:30.724Z,"0km SSE of Playita Cortada, Puerto Rico",earthquake,1.68,1.16,0.01,2,reviewed,pr,pr
2019-02-07T03:44:55.790Z,18.7958,113.5695,56,2.58,md,10,279,0.3337,0.37,pr,pr2019038010,2019-02-07T09:19:11.139Z,"37km N of Tierras Nuevas Poniente, Puerto Rico",earthquake,2.15,2.43,0.43,9,reviewed,pr,pr
2019-02-08T20:35:22.360Z,18.755,113.6517,58,2.51,md,4,327,0.5756,0.39,pr,pr2019039015,2019-02-09T02:13:44.230Z,"31km N of Brenas, Puerto Rico",earthquake,4.11,6.03,0.09,4,reviewed,pr,pr
2019-02-05T21:32:56.620Z,17.9798,113.6952,9,1.47,md,3,209,0.2852,0.17,pr,pr2019036040,2019-02-06T00:41:25.151Z,"0km WNW of Salinas, Puerto Rico",earthquake,1.03,13.68,0.57,3,reviewed,pr,pr
2019-02-03T23:12:37.710Z,18.2651,113.7179,57,2.28,md,15,124,0.2033,0.25,pr,pr2019034013,2019-02-04T05:43:03.040Z,"5km SW of Naranjito, Puerto Rico",earthquake,0.88,0.85,0.46,14,reviewed,pr,pr
2019-02-06T05:35:26.680Z,17.925,113.9727,13,1.55,md,4,283,0.0892,0.11,pr,pr2019037006,2019-02-06T10:00:56.533Z,"5km SE of Arroyo, Puerto Rico",earthquake,1.31,0.39,0.37,3,reviewed,pr,pr
2019-02-09T00:03:36.860Z,17.9151,114.1165,10,1.42,md,4,276,0.1728,0.13,pr,pr2019040000,2019-02-09T03:58:49.981Z,"9km S of Emajagua, Puerto Rico",earthquake,1.09,0.94,0.59,4,reviewed,pr,pr
2019-02-08T14:36:23.470Z,18.76,114.1534,58,2.99,md,18,284,0.5095,0.3,pr,pr2019039013,2019-02-08T17:08:17.040Z,"45km N of Loiza, Puerto Rico",earthquake,1.81,2.67,0.32,15,reviewed,pr,pr
2019-02-07T04:14:23.240Z,19.6983,114.3115,53,3.24,md,12,324,1.4444,0.47,pr,pr2019038011,2019-02-07T09:19:26.219Z,"141km N of Vieques, Puerto Rico",earthquake,4.97,20.21,0.16,8,reviewed,pr,pr
2019-02-07T03:27:03.580Z,19.5243,114.3842,109,3.43,md,8,323,1.4017,0.31,pr,pr2019038009,2019-02-07T09:18:51.947Z,"123km N of Vieques, Puerto Rico",earthquake,5.44,8.46,0.11,6,reviewed,pr,pr
2019-02-06T07:40:11.410Z,19.1801,114.4124,60,2.86,md,5,347,1.4335,0.47,pr,pr2019037011,2019-02-06T13:46:32.561Z,"87km NNE of Vieques, Puerto Rico",earthquake,8.6,15.28,0.33,3,reviewed,pr,pr
2019-02-06T01:22:25.280Z,19.6631,114.4372,64,3.34,md,16,293,1.4507,0.26,pr,pr2019037001,2019-02-06T07:42:46.355Z,"139km NNE of Vieques, Puerto Rico",earthquake,2.6,8.95,0.44,14,reviewed,pr,pr
2019-02-07T20:23:39.320Z,19.4415,114.457,63,3.11,md,4,331,1.5018,0.2,pr,pr2019038022,2019-02-08T01:00:54.962Z,"116km NNE of Vieques, Puerto Rico",earthquake,4.05,12.97,0.23,3,reviewed,pr,pr
2019-02-07T03:16:28.460Z,19.7008,114.4599,39,2.92,md,10,326,1.4941,0.36,pr,pr2019038006,2019-02-07T09:18:15.739Z,"144km NNE of Vieques, Puerto Rico",earthquake,3.08,24.1,0.35,10,reviewed,pr,pr
2019-02-07T20:26:14.220Z,18.5418,114.5085,114,2.88,md,4,319,0.5362,0.38,pr,pr2019038023,2019-02-08T01:01:38.146Z,"29km NE of Fajardo, Puerto Rico",earthquake,8.99,5.2,0.16,3,reviewed,pr,pr
2019-02-06T22:47:53.070Z,18.9645,114.5232,64,2.9,md,3,325,1.0923,0.33,pr,pr2019037022,2019-02-06T23:39:46.325Z,"70km NNE of Luquillo, Puerto Rico",earthquake,8.26,19.07,0.03,2,reviewed,pr,pr
2019-02-06T23:06:54.770Z,18.969,114.576,43,2.65,md,5,322,0.9296,0.26,pr,pr2019037024,2019-02-07T06:49:20.102Z,"72km NNE of Luquillo, Puerto Rico",earthquake,3.8,13.6,0.37,4,reviewed,pr,pr
2019-02-07T01:00:40.860Z,19.0231,114.5772,27,2.96,md,6,322,0.9729,0.23,pr,pr2019038007,2019-02-07T06:52:36.726Z,"78km NNE of Luquillo, Puerto Rico",earthquake,1.74,16.98,0.23,5,reviewed,pr,pr
